region_brch,product_type_brch,collateral_agreement_id,collateral_agreement_type,collateral_amount,collateral_currency,facility_nr,as_of_dt,multiply_divide_ind,rate,customer_nr,entity,maturity_date,rec_ref_dt,source_system,start_date,from_currency,to_currency,lcy_to_hkd,deal_dt,collateral_amount_hke
hk,PLEDGE_COLLATERAL,CLS:180000000000000003288563:2:1,P003,78971361.0,HKD,CLS:1000600495,2024-12-31,M,1.0,018:RM:1800000000000000000001328328,18,2025-11-30,2024-12-31,NX,2024-11-18,HKD,HKD,1.0,,78971361.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003288563:1:0,G007,100000000.0,HKD,CLS:1000600495,2024-12-31,M,1.0,018:RM:1800000000000000000001328328,18,2025-11-30,2024-12-31,NX,2024-11-18,HKD,HKD,1.0,,100000000.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293506:1:1,P001,3530088.0,HKD,CLS:1000610591,2024-12-31,M,1.0,018:RM:1800000000000000000001348284,18,2051-05-10,2024-12-31,NX,2021-05-10,HKD,HKD,1.0,,3530088.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003299973:1:1,P001,47143341.0,HKD,CLS:1000623662,2024-12-31,M,1.0,018:RM:1800000000000000000001357672,18,2051-07-26,2024-12-31,NX,2021-07-26,HKD,HKD,1.0,,47143341.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003291837:7:1,P002,2925947.0,HKD,CLS:1000644384,2024-12-31,M,1.0,018:RM:1800000000000000000001342613,18,2042-01-12,2024-12-31,NX,2022-01-12,HKD,HKD,1.0,,2925947.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003291837:6:0,G007,99999999999.0,HKD,CLS:1000644384,2024-12-31,M,1.0,018:RM:1800000000000000000001342613,18,2042-01-12,2024-12-31,NX,2022-01-12,HKD,HKD,1.0,,99999999999.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003301812:1:0,O010,2446052.0,HKD,CLS:1000632681,2024-12-31,M,1.0,018:RM:1800000000000000000001378895,18,2025-09-30,2024-12-31,NX,2024-09-20,HKD,HKD,1.0,,2446052.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303618:3:0,G007,99999999999.0,HKD,CLS:1000632489,2024-12-31,M,1.0,018:RM:1800000000000000000001380019,18,2025-05-31,2024-12-31,NX,2024-12-09,HKD,HKD,1.0,,99999999999.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303618:1:1,P001,62953165.0,HKD,CLS:1000632489,2024-12-31,M,1.0,018:RM:1800000000000000000001380019,18,2025-05-31,2024-12-31,NX,2024-12-09,HKD,HKD,1.0,,62953165.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303619:2:0,G007,99999999999.0,HKD,CLS:1000632489,2024-12-31,M,1.0,018:RM:1800000000000000000001379757,18,2025-05-31,2024-12-31,NX,2024-12-09,HKD,HKD,1.0,,99999999999.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:2:1,P002,88805212.0,HKD,CLS:1000611916,2024-12-31,M,1.0,018:RM:1800000000000000000001350405,18,2025-04-30,2024-12-31,NX,2024-10-29,HKD,HKD,1.0,,88805212.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:4:1,P003,4179905.0,HKD,CLS:1000611916,2024-12-31,M,1.0,018:RM:1800000000000000000001350405,18,2025-04-30,2024-12-31,NX,2024-10-29,HKD,HKD,1.0,,4179905.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:1:0,G007,99999999999.0,HKD,CLS:1000611916,2024-12-31,M,1.0,018:RM:1800000000000000000001350405,18,2025-04-30,2024-12-31,NX,2024-10-29,HKD,HKD,1.0,,99999999999.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:6:1,P001,6577196.0,HKD,CLS:1000611916,2024-12-31,M,1.0,018:RM:1800000000000000000001350405,18,2025-04-30,2024-12-31,NX,2024-10-29,HKD,HKD,1.0,,6577196.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:5:1,P003,4179905.0,HKD,CLS:1000611916,2024-12-31,M,1.0,018:RM:1800000000000000000001350405,18,2025-04-30,2024-12-31,NX,2024-10-29,HKD,HKD,1.0,,4179905.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003308598:4:0,G007,99999999999.0,HKD,CLS:1000645687,2024-12-31,M,1.0,018:RM:1800000000000000000001392665,18,2025-01-31,2024-12-31,NX,2024-01-23,HKD,HKD,1.0,,99999999999.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003308598:5:0,O010,4168621.0,HKD,CLS:1000645687,2024-12-31,M,1.0,018:RM:1800000000000000000001392665,18,2025-01-31,2024-12-31,NX,2024-01-23,HKD,HKD,1.0,,4168621.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:2:1,P002,52555221.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,52555221.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:9:0,G007,470000000.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,470000000.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:10:1,P001,19426540.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,19426540.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:4:1,P002,76443959.0,HKD,CLS:1000587307,2024-12-31,M,1.0,018:RM:1800000000000000000001324321,18,2024-10-16,2024-12-31,NX,2023-12-28,HKD,HKD,1.0,,76443959.0
